StudentId,Ime,Prezime,OIB,DatumRodenja,IsDeleted
2,Jura,Juriæ,12345678912,1995-06-23 00:00:00.0000000,False
3,Petar,Periæ,01234567891,1986-11-20 00:00:00.0000000,False
9,Ivan,Iviæ,45689632147,1980-02-14 00:00:00.0000000,False
10,Marko,Mariæ,75369214789,1998-12-12 00:00:00.0000000,False
11,Hrvoje,Horvat,54621378914,1999-05-28 00:00:00.0000000,False
12,Matija ,Kolar,74185296325,2000-03-07 00:00:00.0000000,False
13,Dalibor,Brun,36925814714,2001-06-01 00:00:00.0000000,False
14,Petar,Horka,32659841716,2000-07-09 00:00:00.0000000,False
15,Darko,Pokaz,95135746132,2001-08-22 00:00:00.0000000,False
16,Ana,Aniæ,95132174151,2000-06-17 00:00:00.0000000,False
17,Jasna,Aliæ,65432174142,1999-02-18 00:00:00.0000000,False
18,Dunja,Uvekin,36841032702,1998-07-11 00:00:00.0000000,False
23,Klara,Maras,30250179021,1997-01-27 00:00:00.0000000,False
25,Marko,Kolar,45612301405,1997-01-20 00:00:00.0000000,False
